                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   2.63,                 3.9468,                  2.459,                 0.6272,                0.06337,                0.02165,                0.00763,                0.86248,                 5.7123,                0.87055,               0.070011,              0.0033322,              0.0033322
                      1,                 2.4196,                 3.2068,                 2.2447,                0.47415,                0.05505,                0.03421,                 0.0102,                0.86687,                 1.1697,                0.80678,               0.039879,              0.0065335,              0.0065335
                      2,                 2.4456,                  3.173,                 2.2727,                0.47948,                0.07471,                0.04288,                0.01428,                0.83531,                 3.0309,                0.83662,              0.0096147,              0.0096029,              0.0096029
                      3,                 2.4104,                 3.1069,                 2.2663,                0.67477,                0.10424,                0.05423,                   0.02,                0.81412,                 3.0774,                0.80373,               0.009406,               0.009406,               0.009406
                      4,                 2.3374,                 2.9581,                 2.2062,                0.67972,                0.09299,                0.05622,                0.02094,                0.81126,                 1.1262,                0.81183,               0.009406,               0.009406,               0.009406
                      5,                 2.2867,                 2.8613,                 2.1564,                0.69124,                0.11365,                 0.0711,                0.02677,                0.80421,                 1.0083,                0.78521,               0.009208,               0.009208,               0.009208
                      6,                 2.2594,                 2.8112,                 2.1191,                0.69755,                0.12726,                0.07877,                0.02961,                0.77765,                 1.0978,                0.78502,                0.00901,                0.00901,                0.00901
                      7,                 2.2421,                 2.7722,                 2.0925,                0.69522,                0.12603,                 0.0805,                0.03087,                0.77171,                0.95378,                0.76979,               0.008812,               0.008812,               0.008812
                      8,                  2.227,                 2.7345,                 2.0716,                0.69693,                 0.1354,                0.08402,                0.03263,                0.77048,                0.94208,                0.75518,               0.008614,               0.008614,               0.008614
                      9,                 2.2117,                 2.6954,                 2.0524,                0.69949,                 0.1348,                0.08842,                0.03553,                0.76564,                0.92505,                0.76164,               0.008416,               0.008416,               0.008416
                     10,                 2.1971,                  2.676,                 2.0445,                0.70907,                0.13825,                0.09452,                0.03681,                0.75882,                0.94212,                0.75894,               0.008218,               0.008218,               0.008218
                     11,                 2.1875,                 2.6614,                 2.0358,                0.70534,                0.13852,                0.09862,                0.03853,                0.75376,                0.91518,                0.75282,                0.00802,                0.00802,                0.00802
                     12,                 2.1751,                 2.6334,                 2.0239,                0.70908,                0.14182,                0.10189,                0.04069,                0.75075,                0.90501,                0.75164,               0.007822,               0.007822,               0.007822
                     13,                  2.161,                 2.6166,                 2.0008,                0.70832,                0.15317,                 0.1055,                 0.0423,                0.75224,                0.87204,                0.74921,               0.007624,               0.007624,               0.007624
                     14,                 2.1497,                 2.5969,                 2.0022,                0.71218,                0.15243,                 0.1099,                 0.0435,                0.74619,                0.88753,                0.74643,               0.007426,               0.007426,               0.007426
                     15,                 2.1499,                 2.5886,                      2,                0.71751,                0.14673,                0.11044,                0.04383,                0.74216,                0.84585,                0.74485,               0.007228,               0.007228,               0.007228
                     16,                 2.1373,                 2.5732,                   1.99,                0.71732,                0.14912,                0.11122,                0.04434,                0.74292,                0.83611,                0.74675,                0.00703,                0.00703,                0.00703
                     17,                 2.1307,                 2.5764,                 2.0004,                0.71479,                0.14969,                0.11061,                 0.0445,                0.74024,                0.83262,                0.74482,               0.006832,               0.006832,               0.006832
                     18,                 2.1227,                 2.5517,                 1.9892,                0.71577,                0.15016,                0.11194,                0.04533,                0.73807,                0.82863,                0.74317,               0.006634,               0.006634,               0.006634
                     19,                  2.121,                 2.5349,                 1.9786,                0.71654,                0.15193,                0.11346,                0.04585,                0.73631,                 0.8214,                0.74078,               0.006436,               0.006436,               0.006436
                     20,                 2.1147,                 2.5258,                 1.9751,                0.71485,                0.15325,                0.11334,                0.04598,                0.73462,                0.81655,                0.73922,               0.006238,               0.006238,               0.006238
                     21,                 2.1154,                 2.5236,                 1.9581,                0.71627,                0.15519,                0.11405,                0.04665,                0.73383,                0.81014,                0.73769,                0.00604,                0.00604,                0.00604
                     22,                 2.0974,                 2.4807,                 1.9443,                0.71774,                0.15478,                0.11511,                0.04703,                0.73314,                0.80526,                0.73585,               0.005842,               0.005842,               0.005842
                     23,                 2.0939,                 2.4772,                 1.9376,                 0.7182,                 0.1563,                0.11692,                0.04797,                 0.7322,                0.80075,                0.73524,               0.005644,               0.005644,               0.005644
                     24,                 2.0921,                 2.4753,                 1.9392,                0.71897,                0.15791,                0.11829,                 0.0483,                0.73134,                0.79842,                0.73482,               0.005446,               0.005446,               0.005446
                     25,                 2.0846,                 2.4706,                 1.9324,                0.72079,                0.15942,                0.11929,                0.04865,                0.73099,                0.79639,                0.73398,               0.005248,               0.005248,               0.005248
                     26,                 2.0793,                 2.4553,                 1.9244,                0.72128,                0.15865,                0.11983,                0.04896,                0.73025,                0.79524,                0.73315,                0.00505,                0.00505,                0.00505
                     27,                 2.0711,                 2.4318,                 1.9288,                 0.7219,                0.15675,                0.12056,                0.04922,                0.72953,                0.79408,                0.73293,               0.004852,               0.004852,               0.004852
                     28,                 2.0623,                 2.4349,                 1.9029,                0.72218,                0.15701,                0.12145,                0.04958,                0.72871,                0.79174,                0.73233,               0.004654,               0.004654,               0.004654
                     29,                 2.0615,                  2.436,                 1.9052,                0.72342,                0.15803,                0.12204,                0.04977,                0.72802,                0.79036,                0.73139,               0.004456,               0.004456,               0.004456
                     30,                 2.0578,                 2.4061,                 1.9049,                0.72432,                 0.1576,                 0.1233,                0.05029,                0.72769,                0.78813,                0.73093,               0.004258,               0.004258,               0.004258
                     31,                 2.0501,                 2.4081,                 1.8954,                0.72431,                0.15975,                0.12405,                0.05064,                0.72735,                0.78548,                0.73025,                0.00406,                0.00406,                0.00406
                     32,                 2.0393,                 2.3862,                 1.8874,                0.72643,                0.16104,                0.12495,                0.05111,                0.72689,                0.78236,                0.72944,               0.003862,               0.003862,               0.003862
                     33,                 2.0402,                 2.3751,                 1.8834,                0.72771,                0.16162,                0.12648,                0.05152,                0.72663,                0.77916,                0.72849,               0.003664,               0.003664,               0.003664
                     34,                 2.0281,                 2.3717,                 1.8743,                0.72834,                0.16196,                 0.1275,                0.05196,                0.72642,                0.77641,                0.72782,               0.003466,               0.003466,               0.003466
                     35,                 2.0293,                 2.3564,                 1.8688,                0.72889,                0.16408,                0.12829,                0.05248,                0.72637,                0.77465,                0.72711,               0.003268,               0.003268,               0.003268
                     36,                 2.0267,                 2.3401,                 1.8682,                 0.7303,                0.16344,                 0.1293,                0.05285,                0.72619,                 0.7723,                0.72635,                0.00307,                0.00307,                0.00307
                     37,                 2.0149,                 2.3347,                 1.8631,                0.73155,                0.16275,                 0.1301,                0.05315,                0.72588,                0.77021,                0.72578,               0.002872,               0.002872,               0.002872
                     38,                 2.0022,                 2.2994,                 1.8516,                0.73078,                0.16419,                0.13145,                0.05359,                0.72585,                 0.7678,                 0.7254,               0.002674,               0.002674,               0.002674
                     39,                 1.9889,                 2.3006,                 1.8388,                0.73194,                0.16333,                0.13253,                0.05411,                0.72561,                0.76499,                0.72483,               0.002476,               0.002476,               0.002476
                     40,                 1.9627,                 2.1908,                 1.8533,                0.73215,                0.16407,                0.13398,                0.05454,                0.72536,                0.76222,                0.72436,               0.002278,               0.002278,               0.002278
                     41,                 1.9561,                 2.1664,                 1.8418,                0.73499,                0.16427,                0.13508,                0.05505,                0.72523,                0.75922,                0.72402,                0.00208,                0.00208,                0.00208
                     42,                 1.9408,                 2.1329,                 1.8211,                0.73722,                0.16375,                0.13704,                0.05571,                0.72524,                0.75664,                0.72376,               0.001882,               0.001882,               0.001882
                     43,                 1.9305,                 2.1156,                 1.8221,                0.73889,                0.16343,                0.13824,                0.05622,                 0.7252,                0.75389,                0.72346,               0.001684,               0.001684,               0.001684
                     44,                 1.9244,                 2.1012,                 1.8177,                0.73807,                0.16409,                0.13887,                0.05657,                0.72512,                0.75132,                0.72297,               0.001486,               0.001486,               0.001486
                     45,                 1.9115,                 2.0722,                 1.8052,                0.73856,                0.16472,                0.13959,                0.05696,                0.72504,                0.74918,                0.72232,               0.001288,               0.001288,               0.001288
                     46,                 1.9034,                 2.0456,                 1.7924,                0.74027,                0.16382,                0.14144,                0.05768,                0.72489,                0.74704,                0.72164,                0.00109,                0.00109,                0.00109
                     47,                 1.8889,                 2.0242,                  1.775,                0.74254,                 0.1636,                0.14292,                0.05821,                 0.7248,                0.74458,                0.72099,               0.000892,               0.000892,               0.000892
                     48,                 1.8865,                 2.0098,                 1.7735,                0.74176,                0.16604,                 0.1437,                0.05875,                 0.7247,                0.74223,                0.72027,               0.000694,               0.000694,               0.000694
                     49,                 1.8741,                 1.9842,                 1.7615,                0.74328,                0.16581,                0.14506,                0.05928,                0.72455,                0.74019,                0.71972,               0.000496,               0.000496,               0.000496
